	FAP1	FAP2	FAP3	FAP5	FAP4
ClienteE	1851	2365	12	3217	2016
ClienteE	1769	2283	219	3135	1934
ClienteE	1797	2311	247	3164	1963
ClienteE	407	354	2055	1211	41
ClienteE	475	221	2148	1126	498
ClienteE	668	615	1899	1471	297
ClienteE	903	185	2562	700	534
ClienteE	852	268	2499	798	485
ClienteE	1118	429	2791	494	794
ClienteE	756	642	2434	1300	918
ClienteE	724	610	2401	1332	886
ClienteE	621	507	2299	1411	783
ClienteE	907	256	2580	705	603
ClienteE	802	84	2461	799	432
ClienteE	974	256	2633	627	605
ClienteE	1027	309	2686	574	658
ClienteE	714	438	2361	868	347
ClienteE	755	480	2402	827	388
ClienteE	861	586	2509	720	495
ClienteE	921	645	2568	659	554
ClienteE	1226	950	2873	356	859
ClienteE	1178	911	2825	628	811
ClienteE	1571	1304	3190	998	1204
ClienteE	1213	960	2402	1348	847
ClienteE	1362	1315	2227	1938	995
ClienteE	1316	1269	2136	1942	950
ClienteE	1007	1426	1599	2184	1078
ClienteE	484	903	1671	1755	554
ClienteE	546	795	1733	1648	447
ClienteP	1877	2391	15	3244	2043
ClienteP	1742	2256	192	3109	1908
ClienteP	566	1092	1345	1933	732
ClienteP	545	492	2009	1348	173
ClienteP	792	91	2465	832	457
ClienteP	856	155	2528	768	520
ClienteP	748	1027	1440	1932	914
ClienteP	402	315	2151	1219	591
ClienteP	1017	757	2652	1117	651
ClienteP	1061	801	2696	1074	694
ClienteP	1261	1001	2896	873	895
ClienteP	1310	1050	2944	825	943
ClienteP	1371	1104	2956	805	1005
ClienteP	1398	1131	3017	825	1031
ClienteP	1376	1109	2995	804	1010
ClienteP	1467	1200	3086	894	1100
ClienteP	1444	1177	3063	872	1078
ClienteP	1729	1463	3348	936	1363
ClienteP	1706	1439	3325	960	1339
ClienteP	1708	1442	3406	878	1342
ClienteP	1564	1297	3211	754	1197
ClienteP	1599	1333	3247	718	1233
ClienteP	1711	1444	3358	880	1344
ClienteP	1793	1526	3441	963	1427
ClienteP	1800	1533	3447	785	1433
ClienteP	1832	1565	3480	752	1466
ClienteP	1184	467	2844	428	816
ClienteP	596	184	2269	1088	461
ClienteP	647	235	2320	1139	511
ClienteP	811	399	2484	980	676
ClienteP	902	717	2524	1245	993
ClienteP	791	677	2450	1323	954
ClienteP	668	553	2345	1354	830
ClienteP	1418	700	3077	183	1048
ClienteP	1363	645	3022	238	993
ClienteP	1640	922	3298	312	1270
ClienteP	1878	1611	3526	1048	1512
ClienteP	1942	1675	3589	1098	1575
ClienteP	1990	1723	3638	1050	1624
ClienteP	2032	1765	3680	1008	1666
ClienteP	2044	1777	3691	931	1677
ClienteP	2073	1806	3720	968	1706
ClienteP	2014	1747	3661	1184	1648
ClienteP	2054	1787	3701	1223	1687
ClienteP	2111	1844	3758	1280	1744
ClienteP	2153	1887	3801	1323	1787

