	FAP1	FAP2	FAP3	FAP5	FAP4
ClienteP	1444	1177	3063	872	1078
ClienteP	1729	1463	3348	936	1363
ClienteP	1706	1439	3325	960	1339
ClienteP	1708	1442	3406	878	1342
ClienteP	1564	1297	3211	754	1197
ClienteP	1599	1333	3247	718	1233
ClienteP	1711	1444	3358	880	1344
ClienteP	1793	1526	3441	963	1427
ClienteP	1800	1533	3447	785	1433
ClienteP	1832	1565	3480	752	1466
ClienteP	1184	467	2844	428	816
ClienteP	596	184	2269	1088	461
ClienteP	647	235	2320	1139	511
ClienteP	811	399	2484	980	676
ClienteP	902	717	2524	1245	993
